blue_step,blue_action,mce_size,blue_kind
3,Remove User3,2,Remove
3,Restore User3,2,Restore
5,Remove User3,4,Remove
5,Restore User3,4,Restore
8,Remove User1,2,Remove
8,Remove User3,4,Remove
8,Restore User1,2,Restore
8,Restore User3,4,Restore
10,Remove User3,4,Remove
10,Restore User3,4,Restore
13,Remove User3,4,Remove
13,Restore User3,4,Restore
14,Remove User3,3,Remove
14,Restore User3,3,Restore
15,Remove User3,4,Remove
15,Restore User3,4,Restore
16,Remove User3,4,Remove
16,Restore User3,4,Restore
17,Remove User3,4,Remove
17,Restore User3,4,Restore
18,Remove User4,3,Remove
18,Restore User4,3,Restore
20,Remove Enterprise1,1,Remove
20,Remove User3,4,Remove
20,Restore Enterprise1,1,Restore
20,Restore User3,4,Restore
22,Remove User3,4,Remove
22,Restore User3,8,Restore
24,Remove User3,4,Remove
24,Restore User3,4,Restore
24,Restore User4,4,Restore
26,Remove User3,4,Remove
26,Restore User4,4,Restore
27,Remove User3,4,Remove
27,Restore User3,4,Restore
28,Remove Enterprise2,1,Remove
28,Restore User1,3,Restore
29,Remove User3,4,Remove
29,Restore User3,4,Restore
30,Remove User3,4,Remove
30,Restore User4,4,Restore
31,Remove User3,4,Remove
31,Restore User3,4,Restore
32,Remove User4,3,Remove
32,Restore User3,4,Restore
34,Remove User3,4,Remove
34,Restore User3,4,Restore
34,Restore User4,4,Restore
36,Remove User3,4,Remove
36,Restore User1,4,Restore
36,Restore User3,4,Restore
38,Remove User3,4,Remove
38,Restore User3,8,Restore
40,Restore User1,4,Restore
42,Remove User3,4,Remove
42,Restore Enterprise1,1,Restore
42,Restore User3,4,Restore
44,Remove User3,4,Remove
44,Restore User1,4,Restore
44,Restore User3,4,Restore
45,Remove Enterprise0,1,Remove
47,Remove User1,3,Remove
49,Remove Enterprise2,2,Remove
50,Restore User3,4,Restore
51,Remove User3,3,Remove
52,Remove User3,4,Remove
52,Restore User1,4,Restore
52,Restore User3,4,Restore
53,Remove User1,4,Remove
54,Remove User3,4,Remove
54,Restore Enterprise1,2,Restore
54,Restore User3,4,Restore
55,Remove User1,4,Remove
56,Remove User3,4,Remove
56,Restore User1,4,Restore
56,Restore User3,4,Restore
57,Remove User3,4,Remove
58,Remove User3,4,Remove
58,Restore User3,4,Restore
58,Restore User4,3,Restore
59,Remove Enterprise2,2,Remove
60,Restore User4,4,Restore
61,Remove User3,8,Remove
61,Restore User3,4,Restore
62,Restore User3,4,Restore
64,Restore User1,4,Restore
65,Remove User3,4,Remove
65,Restore User3,4,Restore
67,Remove User3,4,Remove
67,Restore User3,4,Restore
69,Remove User3,4,Remove
69,Restore User3,4,Restore
